,Id:,text,date,retweets,likes
0,1412016551771967490,[<'#Bitcoin will remain the land of the free only so long as it is the home of the brave.'>],2021-07-05,1560,13736
1,1411673871833522177,"[<'@beeforbacon1 If we have a constructive response to a concern brought forth in good faith by an investor, politician, or executive that might or currently does support #Bitcoin, we are better served to cheerfully &amp; respectfully engage with them than to reject the premise of their inquiry.'>]",2021-07-04,24,341
2,1411666122831708160,"[<'""Humanity has won its battle. Liberty now has a country."" - Marquis de Lafayette on #Bitcoin'>]",2021-07-04,795,7846
3,1411469797490110473,"[<'My discussion with @NorthmanTrader was a deep review of my investment views on macro, technology, portfolio, property, monetary &amp; wealth theory, debt, savers vs. investors vs. traders vs. speculators, #Bitcoin motivations, crypto risk &amp; political endgame.\nhttps://t.co/RyIZ7L2HIB'>]",2021-07-03,747,5062
4,1411327071310200832,"[<'#Bitcoin is adapting &amp; evolving faster than any major industry right now. Globally, investors, service providers, miners, application partners, &amp; technology vendors are innovating, upgrading, recapitalizing &amp; reorganizing at a ferocious rate. #Capitalism\nhttps://t.co/bBOgSHKsk7'>]",2021-07-03,985,6314
5,1411294085307064322,[<'“Life is either a daring adventure or nothing at all.” - Helen Keller on #Bitcoin'>],2021-07-03,1077,9332
6,1410950931378749440,"[<'RT @DocumentingBTC: ""If you are an ESG activist, #Bitcoin is the most ESG friendly industry in the world."" -@Michael_Saylor\n\n""Environmental…'>]",2021-07-02,485,0
7,1410943707331825672,"[<'“If opportunity doesn’t knock, build a door.” - Milton Berle on #Bitcoin'>]",2021-07-02,1347,10218
8,1410698061224058888,"[<'Based on the Bitcoin Mining Council survey of the network, mining electricity mix increased to 56% sustainable in Q2 2021, making #Bitcoin one of the cleanest industries in the world.\nhttps://t.co/wWWgjebdtN'>]",2021-07-01,3263,14465
9,1410559635250204673,"[<'""The enemy of my enemy is my friend.” - Ancient Proverb on #Bitcoin'>]",2021-07-01,827,8409
10,1410406825539874818,"[<'#Bitcoin is digital property, technically superior to all other forms of property. It is demonetizing gold, real estate, bonds, equity, cash, derivatives, &amp; commodities and the solution to the 21st century challenge of economic security &amp; empowerment.\nhttps://t.co/U6v4ET8iMo'>]",2021-07-01,1463,8883
11,1410340492571783170,"[<'We surveyed miners &amp; industry analysts around the world to assess #Bitcoin electricity usage and estimate efficiency, sustainability, &amp; the impact of the China Exodus. We will discuss these results tomorrow in our Q2 2021 Briefing. Join us.\nhttps://t.co/wWWgjebdtN'>]",2021-06-30,887,5622
