,Id:,text,date,retweets,likes
0,1408860878242562051,[<'Escaping the Global Banking Cartel has more than 200k views. Thank you! https://t.co/YduSEt8S4M \n#Bitcoin #cryptocurrency #banksters https://t.co/gZl7Einpdc'>],2021-06-26,172,816
1,1407813498806091777,"[<""This Sunday I'll be doing monthly audio Q&amp;A livestream answering questions on #Bitcoin #ethereum &amp; anything related to the technology and social impact of #blockchains. \n\nTill then, here's a short video from a recent Q&amp;A session: https://t.co/nloLqnmmSO https://t.co/P8YpDcqsev"">]",2021-06-23,13,75
2,1407015227871444992,[<'Should we attack #Bitcoin? Is it Bitcoin or #Bitcoins? Fractional #Bitcoining? [2021] https://t.co/nloLqnmmSO https://t.co/zm6CKbw5zW'>],2021-06-21,13,69
3,1405638401991270409,[<'RT @BitcoinMagazine: This attack is severe since it could cause a victim to lose all of their funds. Please do NOT type your seed phrase on…'>],2021-06-17,107,0
4,1405638302082945027,[<'RT @BitcoinMagazine: Victims of the July 2020 Ledger hack are receiving fake hardware wallets.\n\nBelow is a fake letter that a victim receiv…'>],2021-06-17,1681,0
5,1403732223111614467,"[<'The Taproot upgrade is a ""soft fork"" which means it is an optional feature. You don\'t have to use it or change anything in your use of Bitcoin because of it. But many wallets are likely to implement it for cheaper fees and better privacy'>]",2021-06-12,57,541
6,1403731925458731015,[<'Taproot will increase Bitcoin privacy by making complex scripts (e.g. Lightning channel closure) indistinguishable from simple payments. Schnorr Signatures optimize transaction signing and open the door for many other features and optimizations'>],2021-06-12,51,517
7,1403731517550075911,"[<'Today the Taproot feature set (Taproot, Tapscript, Schnorr Signatures) locked in on the Bitcoin mainnet. It will be activated for use on November 2021. Wallet and infrastructure implementations have 5 months to code and test their use of Taproot if they want to provide to clients'>]",2021-06-12,250,1520
8,1403690247519719426,[<'RT @gladstein: 1/ Bitcoin is a powerful tool for human rights.\n\nWhat is happening in El Salvador will have a huge impact on the lives of pe…'>],2021-06-12,569,0
9,1402986837728104451,"[<'Here\'s our ""Speaking of Bitcoin"" podcast episode where we discussed this:\n\nhttps://t.co/0Ny5rvvQr2'>]",2021-06-10,32,248
10,1402985976851357707,"[<'Taproot will be locked-in for a November activation in the next 36 hours. \n\nA big success for #Bitcoin, Taproot introduces a second signature algo (Schnorr) and significant privacy features.\n\nAlso a big success for the ""Speedy Trial"" activation method with &lt; 8 weeks to lock-in.'>]",2021-06-10,430,2830
11,1402958830544293892,"[<""RT @LNJunkies: With Taproot's lockin so close, I thought it would be a good time to start talking about Bitcoin's next soft fork:\nBIP-118 o…"">]",2021-06-10,96,0
12,1402618149246226438,"[<""@IanJefferyRules The fact that you don't need open and censorship resistant money only speaks to your financial privilege. \n\n#Bitcoin is for #TheOtherSixBillion"">]",2021-06-09,22,211
