Date,Price,Open,High,Low,Vol.,Change %
20-Jul-22,0.5096,0.5154,0.5481,0.5064,485.47M,-1.13%
19-Jul-22,0.5154,0.4913,0.5257,0.4737,509.88M,4.89%
18-Jul-22,0.4914,0.4475,0.4991,0.4459,482.00M,9.82%
17-Jul-22,0.4475,0.4578,0.4653,0.4428,198.14M,-2.21%
16-Jul-22,0.4576,0.4417,0.4586,0.4317,193.84M,3.59%
15-Jul-22,0.4417,0.4414,0.4525,0.4329,243.99M,0.06%
14-Jul-22,0.4414,0.4388,0.4455,0.4173,269.76M,0.59%
13-Jul-22,0.4388,0.4171,0.4403,0.4044,330.54M,5.21%
12-Jul-22,0.4171,0.4347,0.4412,0.416,189.94M,-4.07%
11-Jul-22,0.4348,0.4621,0.4626,0.4319,225.43M,-5.91%
10-Jul-22,0.4621,0.478,0.4796,0.4555,149.42M,-3.33%
9-Jul-22,0.478,0.4663,0.4848,0.4653,134.41M,2.52%
8-Jul-22,0.4663,0.4778,0.4926,0.4609,217.40M,-2.42%
7-Jul-22,0.4778,0.4623,0.4821,0.4611,177.17M,3.38%
6-Jul-22,0.4622,0.4576,0.465,0.4481,173.66M,0.98%
5-Jul-22,0.4577,0.4693,0.4716,0.4448,221.85M,-2.47%
4-Jul-22,0.4693,0.4559,0.4756,0.4446,248.49M,2.95%
3-Jul-22,0.4559,0.4557,0.4596,0.444,115.33M,0.03%
2-Jul-22,0.4557,0.4487,0.4612,0.4413,140.45M,1.57%
1-Jul-22,0.4487,0.4592,0.4721,0.4435,243.51M,-2.26%
30-Jun-22,0.4591,0.4658,0.4673,0.4354,281.86M,-1.44%
29-Jun-22,0.4658,0.4696,0.4767,0.4593,217.10M,-0.81%
28-Jun-22,0.4696,0.4849,0.4972,0.4675,200.76M,-3.17%
27-Jun-22,0.4849,0.4897,0.5085,0.4769,194.33M,-0.98%
26-Jun-22,0.4898,0.4984,0.525,0.4886,247.74M,-1.74%
25-Jun-22,0.4984,0.498,0.5076,0.4787,176.49M,0.10%
24-Jun-22,0.498,0.4798,0.5092,0.4766,287.59M,3.79%
23-Jun-22,0.4798,0.459,0.4827,0.4573,194.67M,4.51%
22-Jun-22,0.459,0.4813,0.4813,0.4567,250.94M,-4.62%
21-Jun-22,0.4813,0.4914,0.5108,0.4756,322.48M,-2.06%
20-Jun-22,0.4914,0.4846,0.5084,0.4617,376.52M,1.40%
19-Jun-22,0.4846,0.4551,0.4883,0.4365,375.29M,6.49%
18-Jun-22,0.4551,0.487,0.495,0.421,459.41M,-6.54%
17-Jun-22,0.487,0.476,0.5038,0.472,263.80M,2.29%
16-Jun-22,0.476,0.535,0.5459,0.4678,428.10M,-11.03%
15-Jun-22,0.5351,0.4837,0.5374,0.449,793.68M,10.62%
14-Jun-22,0.4837,0.4638,0.5195,0.4371,808.03M,4.32%
13-Jun-22,0.4637,0.4908,0.4977,0.4376,976.67M,-5.50%
12-Jun-22,0.4907,0.5535,0.5608,0.4906,480.59M,-11.36%
11-Jun-22,0.5535,0.5743,0.6163,0.5454,366.16M,-3.61%
10-Jun-22,0.5743,0.6321,0.6358,0.571,319.51M,-9.15%
9-Jun-22,0.6321,0.6408,0.656,0.626,238.18M,-1.35%
8-Jun-22,0.6408,0.6139,0.667,0.6098,469.53M,4.39%
7-Jun-22,0.6139,0.6094,0.6446,0.5725,461.76M,0.73%
6-Jun-22,0.6094,0.5673,0.6445,0.5654,401.12M,7.34%
5-Jun-22,0.5677,0.5665,0.5803,0.5542,114.98M,0.23%
4-Jun-22,0.5664,0.5602,0.5713,0.5464,135.33M,1.12%
3-Jun-22,0.5602,0.5881,0.6047,0.5396,259.98M,-4.75%
2-Jun-22,0.5881,0.5517,0.5965,0.5496,375.09M,6.65%
1-Jun-22,0.5514,0.6255,0.631,0.5385,434.11M,-11.83%
31-May-22,0.6255,0.5699,0.6857,0.568,805.39M,9.83%
30-May-22,0.5695,0.482,0.5773,0.4773,319.35M,18.16%
29-May-22,0.482,0.4646,0.4825,0.4564,116.26M,3.79%
28-May-22,0.4644,0.4553,0.4683,0.4482,128.49M,2.00%
27-May-22,0.4553,0.4791,0.4836,0.4456,317.04M,-4.96%
26-May-22,0.479,0.5145,0.5208,0.4631,290.25M,-6.90%
25-May-22,0.5145,0.5219,0.5322,0.5073,162.29M,-1.41%
24-May-22,0.5219,0.5128,0.5249,0.4936,199.56M,1.79%
23-May-22,0.5127,0.5418,0.5585,0.5053,221.82M,-5.36%
22-May-22,0.5418,0.5286,0.5486,0.5222,127.81M,2.50%
21-May-22,0.5286,0.5163,0.5385,0.5092,109.60M,2.37%
20-May-22,0.5163,0.5331,0.5447,0.5021,210.56M,-3.15%
19-May-22,0.5331,0.5044,0.5462,0.4919,269.92M,5.68%
18-May-22,0.5044,0.5777,0.5859,0.5036,283.31M,-12.67%
17-May-22,0.5777,0.5564,0.5988,0.5519,262.66M,3.82%
16-May-22,0.5564,0.5979,0.6123,0.5447,380.70M,-6.94%
15-May-22,0.5979,0.5378,0.5989,0.5151,279.39M,11.17%
14-May-22,0.5378,0.5294,0.5566,0.4895,334.62M,1.57%
13-May-22,0.5295,0.4725,0.6069,0.4692,656.18M,12.12%
12-May-22,0.4723,0.5155,0.5475,0.4029,1.08B,-8.38%
11-May-22,0.5155,0.6286,0.6601,0.4759,898.91M,-17.98%
10-May-22,0.6285,0.602,0.6991,0.5859,677.27M,4.35%
9-May-22,0.6023,0.7405,0.7535,0.5989,665.95M,-18.65%
8-May-22,0.7404,0.7604,0.7653,0.7264,250.28M,-2.61%
7-May-22,0.7602,0.7832,0.7857,0.7471,185.57M,-2.93%
6-May-22,0.7832,0.7887,0.7985,0.7635,337.24M,-0.70%
5-May-22,0.7887,0.899,0.9049,0.7817,478.60M,-12.27%
4-May-22,0.899,0.7709,0.899,0.7678,348.29M,16.62%
3-May-22,0.7709,0.7809,0.7988,0.7606,136.00M,-1.29%
2-May-22,0.7809,0.7895,0.7967,0.7647,191.14M,-1.05%
1-May-22,0.7892,0.7565,0.7999,0.7463,199.11M,4.33%
30-Apr-22,0.7565,0.8047,0.8177,0.7372,194.81M,-5.98%
29-Apr-22,0.8046,0.8433,0.8492,0.7909,192.68M,-4.58%
28-Apr-22,0.8432,0.8401,0.8524,0.8265,185.74M,0.37%
27-Apr-22,0.8401,0.8261,0.8548,0.82,211.19M,1.70%
26-Apr-22,0.8261,0.8973,0.9022,0.8172,242.77M,-7.95%
25-Apr-22,0.8974,0.8859,0.9023,0.8276,243.77M,1.30%
24-Apr-22,0.8859,0.8862,0.898,0.8781,76.04M,-0.03%
23-Apr-22,0.8862,0.9059,0.9119,0.8826,54.97M,-2.18%
22-Apr-22,0.9059,0.9099,0.9239,0.8927,126.91M,-0.43%
21-Apr-22,0.9099,0.9368,0.9701,0.8946,154.00M,-2.88%
20-Apr-22,0.9368,0.9521,0.9749,0.9311,137.10M,-1.68%
19-Apr-22,0.9528,0.937,0.956,0.927,113.87M,1.70%
