,Representative,Date,Investment,Type,Amount
0,Hon. Michael T. McCaul,1/13/2021,Grayscale Bitcoin Trust,purchase,"$1,001 - $15,000"
1,Hon. Mark Dr Green,3/16/2021,Ethereum Classic Cryptocurrenct,purchase,"$1,001 - $15,000"
2,Hon. Michael Waltz,6/14/2021,Bitcoin,purchase,"$15,001 - $50,000"
3,Hon. Michael Waltz,6/16/2021,Bitcoin,purchase,"$15,001 - $50,000"
4,Hon. David Madison Cawthorn,1/24/2022,Bitcoin,purchase,"$15,001 - $50,000"
5,Hon. David Madison Cawthorn,1/25/2022,Bitcoin,purchase,"$1,001 - $15,000"
6,Hon. David Madison Cawthorn,1/26/2022,Bitcoin,purchase,"$15,001 - $50,000"
7,Hon. David Madison Cawthorn,1/27/2022,Bitcoin,purchase,"$1,001 - $15,000"
8,Hon. David Madison Cawthorn,3/30/2022,Bitcoin,purchase,"$15,001 - $50,000"
9,Hon. David Madison Cawthorn,1/24/2022,Ethereum,sale_full,"$15,001 - $50,000"
10,Hon. David Madison Cawthorn,3/25/2022,Ethereum,purchase,"$1,001 - $15,000"
11,Hon. David Madison Cawthorn,1/26/2022,Ethereum,sale_partial,"$15,001 - $50,000"
12,Hon. David Madison Cawthorn,1/25/2022,Ethereum,purchase,"$15,001 - $50,000"
13,Hon. David Madison Cawthorn,1/29/2022,Ethereum,purchase,"$15,001 - $50,000"
14,Hon. David Madison Cawthorn,12/31/2021,Ethereum Crypto Currency,purchase,"$100,001 - $250,000"
15,Hon. David Madison Cawthorn,12/27/2021,ETH-USD,purchase,"$1,001 - $15,000"
16,Hon. Marie Newman,1/4/2022,Grayscale Bitcoin TR BTC,purchase,"$1,001 - $15,000"
17,Hon. Mark Dr Green,5/20/2021,Ethereum Classic,sale_full,"$1,001 - $15,000"
18,Hon. Mark Dr Green,5/21/2021,Ethereum Classic,sale_full,"$1,001 - $15,000"
19,Hon. Marie Newman,11/9/2021,Grayscale Bitcoin TR,purchase,"$15,001 - $50,000"
20,Hon. Mark Dr Green,4/13/2021,Ethereum Classic,purchase,"$1,001 - $15,000"
21,Hon. Felix Barry Moore,10/23/2021,Cardano,sale_partial,"$1,001 - $15,000"
22,Hon. Felix Barry Moore,5/11/2021,Cardano,purchase,"$1,001 - $15,000"
23,Hon. Felix Barry Moore,5/13/2021,Cardano,purchase,"$1,001 - $15,000"
24,Hon. Felix Barry Moore,5/10/2021,Cardano,purchase,"$1,001 - $15,000"
25,Hon. Felix Barry Moore,6/13/2021,Dogecoin,purchase,"$1,001 - $15,000"
26,Hon. Felix Barry Moore,5/5/2021,Ethereum,purchase,"$1,001 - $15,000"
27,Hon. Zoe Lofgren,9/2/2021,Invesco Preferred ETH,purchase,"$1,001 - $15,000"
