Date,Price,Open,High,Low,Vol.,Change %
20-Jul-22,0.070707,0.069039,0.076849,0.06778,2.44B,2.41%
19-Jul-22,0.069045,0.067684,0.070209,0.065493,1.52B,2.01%
18-Jul-22,0.067685,0.063038,0.068797,0.063006,1.67B,7.37%
17-Jul-22,0.063038,0.064374,0.065493,0.062921,634.14M,-2.06%
16-Jul-22,0.064362,0.062932,0.064804,0.061781,712.45M,2.27%
15-Jul-22,0.062936,0.062429,0.064359,0.061648,968.14M,0.82%
14-Jul-22,0.062424,0.061948,0.062774,0.059506,899.83M,0.77%
13-Jul-22,0.061949,0.059787,0.062078,0.057692,1.21B,3.63%
12-Jul-22,0.05978,0.061744,0.062976,0.059733,719.50M,-3.19%
11-Jul-22,0.061751,0.067239,0.067242,0.061208,883.59M,-8.16%
10-Jul-22,0.067237,0.069464,0.06948,0.066316,707.63M,-3.21%
9-Jul-22,0.069464,0.069081,0.070112,0.068856,494.86M,0.57%
8-Jul-22,0.069073,0.070593,0.07326,0.068283,1.14B,-2.14%
7-Jul-22,0.070584,0.068458,0.071174,0.067936,973.80M,3.10%
6-Jul-22,0.06846,0.06716,0.069255,0.066214,956.69M,1.94%
5-Jul-22,0.06716,0.069326,0.069982,0.065542,914.26M,-3.11%
4-Jul-22,0.069318,0.067208,0.069776,0.065694,939.54M,3.15%
3-Jul-22,0.067199,0.066633,0.067457,0.064958,684.15M,0.87%
2-Jul-22,0.066623,0.066416,0.067791,0.065629,916.81M,0.32%
1-Jul-22,0.066411,0.066301,0.068075,0.063989,1.32B,0.14%
30-Jun-22,0.066322,0.069495,0.06965,0.062376,1.66B,-4.58%
29-Jun-22,0.069504,0.06605,0.071455,0.064197,1.69B,5.23%
28-Jun-22,0.066046,0.072003,0.073116,0.06547,1.63B,-8.25%
27-Jun-22,0.071983,0.072941,0.078601,0.070597,2.74B,-1.31%
26-Jun-22,0.072938,0.068507,0.077486,0.067255,2.68B,6.47%
25-Jun-22,0.068507,0.066911,0.069195,0.065134,1.16B,2.38%
24-Jun-22,0.066913,0.063959,0.068294,0.063941,1.36B,4.64%
23-Jun-22,0.063945,0.061674,0.064688,0.061647,1.27B,3.71%
22-Jun-22,0.061659,0.065781,0.065786,0.061093,1.96B,-6.25%
21-Jun-22,0.065773,0.060046,0.06972,0.059037,3.30B,9.54%
20-Jun-22,0.060043,0.060477,0.061324,0.057453,1.51B,-0.71%
19-Jun-22,0.060469,0.052884,0.062835,0.051185,3.64B,14.37%
18-Jun-22,0.052871,0.056857,0.057822,0.049239,2.39B,-7.00%
17-Jun-22,0.056851,0.055206,0.058002,0.054641,1.17B,3.02%
16-Jun-22,0.055182,0.062798,0.062798,0.054264,2.54B,-11.96%
15-Jun-22,0.062678,0.055547,0.063649,0.050452,3.69B,12.79%
14-Jun-22,0.055569,0.05418,0.058345,0.04987,3.30B,2.63%
13-Jun-22,0.054145,0.063531,0.065888,0.052494,4.78B,-14.77%
12-Jun-22,0.063528,0.069845,0.070311,0.06349,1.99B,-8.99%
11-Jun-22,0.069803,0.075364,0.076459,0.068175,1.29B,-7.38%
10-Jun-22,0.075363,0.079343,0.079653,0.074248,906.17M,-5.03%
9-Jun-22,0.079351,0.079288,0.081035,0.078945,546.14M,0.08%
8-Jun-22,0.079291,0.080365,0.081545,0.078834,849.30M,-1.35%
7-Jun-22,0.080374,0.082501,0.08254,0.077819,1.27B,-2.56%
6-Jun-22,0.082489,0.081038,0.084687,0.080903,1.37B,1.69%
5-Jun-22,0.081115,0.081835,0.082193,0.080596,647.40M,-0.88%
4-Jun-22,0.081835,0.080273,0.082428,0.079337,906.09M,1.94%
3-Jun-22,0.080275,0.082757,0.082939,0.07938,1.02B,-3.00%
2-Jun-22,0.082755,0.080976,0.083114,0.080106,1.15B,2.20%
1-Jun-22,0.08097,0.085831,0.089324,0.079056,2.50B,-5.63%
31-May-22,0.085803,0.087918,0.088425,0.083159,1.79B,-2.38%
30-May-22,0.087898,0.082699,0.088414,0.08211,1.63B,6.29%
29-May-22,0.082697,0.081798,0.083221,0.079956,569.60M,1.10%
28-May-22,0.081798,0.081332,0.08319,0.080876,833.58M,0.60%
27-May-22,0.08131,0.077868,0.087072,0.076101,2.80B,4.41%
26-May-22,0.077878,0.082975,0.083702,0.075445,1.26B,-6.14%
25-May-22,0.082975,0.083675,0.084473,0.082118,613.71M,-0.77%
24-May-22,0.083616,0.083276,0.084311,0.080195,581.83M,0.46%
23-May-22,0.083231,0.085874,0.088293,0.082195,763.73M,-3.08%
22-May-22,0.085874,0.084428,0.086644,0.083853,344.76M,1.71%
21-May-22,0.084427,0.083892,0.085293,0.082574,327.66M,0.68%
20-May-22,0.083859,0.086643,0.087901,0.082608,732.84M,-3.23%
19-May-22,0.086661,0.083366,0.087415,0.081508,854.45M,3.95%
18-May-22,0.083366,0.090267,0.090967,0.083151,988.79M,-7.66%
17-May-22,0.090277,0.087985,0.091331,0.086973,1.01B,2.64%
16-May-22,0.087952,0.093191,0.093191,0.085903,1.05B,-5.63%
15-May-22,0.093197,0.089386,0.093197,0.086587,1.16B,4.26%
14-May-22,0.089386,0.088083,0.091874,0.083685,1.68B,1.47%
13-May-22,0.08809,0.082447,0.095103,0.082152,3.69B,6.78%
12-May-22,0.082498,0.084823,0.089624,0.068584,6.26B,-2.74%
11-May-22,0.084818,0.108044,0.110705,0.075829,7.18B,-21.43%
10-May-22,0.107958,0.101361,0.118172,0.099659,3.10B,6.48%
9-May-22,0.101385,0.124116,0.125198,0.101263,3.17B,-18.31%
8-May-22,0.124115,0.127451,0.128175,0.123157,1.14B,-2.63%
7-May-22,0.127464,0.127811,0.132207,0.124916,1.33B,-0.27%
6-May-22,0.127806,0.128132,0.129771,0.123792,1.40B,-0.22%
5-May-22,0.12809,0.135906,0.137688,0.126271,2.42B,-5.75%
4-May-22,0.135905,0.129415,0.136086,0.129008,1.44B,5.02%
3-May-22,0.129413,0.130799,0.131888,0.126586,903.77M,-1.06%
2-May-22,0.130802,0.132761,0.133896,0.127735,1.19B,-1.49%
1-May-22,0.132776,0.12744,0.136289,0.12611,1.77B,4.17%
30-Apr-22,0.127465,0.134927,0.136757,0.124521,1.82B,-5.52%
29-Apr-22,0.134912,0.137491,0.144982,0.133296,2.93B,-1.89%
28-Apr-22,0.137507,0.139976,0.143221,0.135475,2.20B,-1.76%
27-Apr-22,0.139966,0.137684,0.14559,0.13523,3.41B,1.66%
26-Apr-22,0.137684,0.157851,0.166093,0.136269,9.46B,-12.77%
25-Apr-22,0.157843,0.131732,0.169885,0.122725,10.48B,19.81%
24-Apr-22,0.131746,0.133811,0.134709,0.131198,749.44M,-1.53%
23-Apr-22,0.133795,0.136355,0.136716,0.133356,512.07M,-1.89%
22-Apr-22,0.136372,0.13621,0.138037,0.134792,833.46M,0.13%
21-Apr-22,0.136198,0.140635,0.142716,0.134425,1.28B,-3.14%
20-Apr-22,0.140619,0.142581,0.146577,0.139125,1.93B,-1.40%
19-Apr-22,0.142616,0.140206,0.144459,0.13923,1.20B,1.72%
18-Apr-22,0.140206,0.13914,0.140429,0.133746,1.77B,0.74%
17-Apr-22,0.139173,0.143524,0.144905,0.13853,1.03B,-3.04%
16-Apr-22,0.14353,0.14593,0.147924,0.141461,1.09B,-1.65%
15-Apr-22,0.145933,0.144022,0.149694,0.142113,2.06B,1.41%
14-Apr-22,0.143911,0.139871,0.147435,0.137294,3.26B,2.89%
13-Apr-22,0.139871,0.137934,0.142936,0.136486,1.55B,1.35%
12-Apr-22,0.138006,0.1341,0.144376,0.133234,2.40B,2.90%
11-Apr-22,0.134113,0.148102,0.151386,0.133025,3.15B,-9.43%
10-Apr-22,0.14807,0.144212,0.157515,0.143608,3.79B,2.71%
9-Apr-22,0.14417,0.142583,0.144513,0.140738,921.02M,1.13%
8-Apr-22,0.142564,0.146059,0.153003,0.140731,3.26B,-2.38%
7-Apr-22,0.146036,0.143365,0.148172,0.14028,2.80B,2.05%
6-Apr-22,0.143102,0.172654,0.174104,0.142508,7.38B,-17.05%
5-Apr-22,0.172508,0.148517,0.179018,0.147416,9.36B,16.16%
4-Apr-22,0.148512,0.146325,0.156286,0.141496,4.01B,1.51%
3-Apr-22,0.146308,0.138697,0.149395,0.1363,1.85B,5.48%
2-Apr-22,0.138704,0.141403,0.144299,0.138369,1.21B,-1.88%
1-Apr-22,0.141361,0.138077,0.142561,0.132265,1.60B,2.36%
31-Mar-22,0.138099,0.14317,0.147802,0.136352,2.13B,-3.47%
30-Mar-22,0.143061,0.144501,0.145389,0.138524,1.68B,-1.00%
29-Mar-22,0.144503,0.142177,0.148796,0.140795,1.80B,1.62%
28-Mar-22,0.142204,0.144832,0.1535,0.141409,2.93B,-1.82%
27-Mar-22,0.144839,0.136072,0.145376,0.135541,2.75B,6.42%
26-Mar-22,0.136101,0.130813,0.136825,0.12909,1.21B,4.03%
25-Mar-22,0.130831,0.136814,0.137471,0.128025,1.82B,-4.34%
24-Mar-22,0.136773,0.129805,0.140907,0.127841,3.37B,5.36%
23-Mar-22,0.129818,0.122436,0.131183,0.121085,1.83B,6.05%
22-Mar-22,0.122418,0.119245,0.125622,0.118728,1.03B,2.68%
21-Mar-22,0.119218,0.119099,0.121586,0.117789,724.69M,0.14%
20-Mar-22,0.119054,0.123539,0.124079,0.11746,688.17M,-3.63%
19-Mar-22,0.123535,0.119188,0.124991,0.1184,1.11B,3.63%
18-Mar-22,0.119207,0.116343,0.119528,0.114314,339.03M,2.47%
17-Mar-22,0.116336,0.116988,0.119228,0.116135,355.05M,-0.57%
16-Mar-22,0.116997,0.112591,0.117025,0.112107,527.73M,3.91%
15-Mar-22,0.112591,0.113975,0.114209,0.110292,346.15M,-1.17%
