,Id:,text,date,retweets,likes
0,1.40825E+18,[<'“That’s not funny!” – Bitcoin maxis'>],6/25/2021,2818,58420
1,1.40825E+18,[<'How many Bitcoin maxis does it take to screw in a lightbulb?'>],6/25/2021,7614,96981
2,1.40824E+18,[<'@jack Oh right … Bitcoin haha'>],6/25/2021,722,7551
3,1.40548E+18,[<'@BitcoinMagazine @jespow Based on what data?'>],6/17/2021,798,10093
4,1.40413E+18,"[<'@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.\n\nWhen there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.'>]",6/13/2021,10153,52440
5,1.40109E+18,[<'@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik'>],6/5/2021,3098,23807
6,1.40062E+18,[<'#Bitcoin 💔 https://t.co/lNnEfMdtJf'>],6/4/2021,20872,208107
7,1.39691E+18,[<'Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.'>],5/24/2021,35954,316079
8,1.39547E+18,[<'@TeslaGong @wintonARK Bitcoin hashing (aka mining) energy usage is starting to exceed that of medium-sized countries. Almost impossible for small hashers to succeed without those massive economies of scale.'>],5/20/2021,797,5451
9,1.39417E+18,"[<'@BTC_Archive To clarify speculation, Tesla has not sold any Bitcoin'>]",5/17/2021,16670,97358
10,1.39399E+18,"[<'@ChainLinkGod @PeterMcCormack Bitcoin is actually highly centralized, with supermajority controlled by handful of big mining (aka hashing) companies. \n\nA single coal mine in Xinjiang flooded, almost killing miners, and Bitcoin hash rate dropped 35%. Sound “decentralized” to you?\n\nhttps://t.co/Oom8yzGRNQ'>]",5/16/2021,6997,38548
11,1.39399E+18,"[<'@poisonouspinups @michael_saylor He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs'>]",5/16/2021,1881,15028
12,1.3926E+18,[<'Tesla &amp; Bitcoin https://t.co/YSswJmVZhP'>],5/12/2021,72505,485204
